"work_id","size_id","sale_price","regular_price"
194092,2632,305.00,535.00
194092,2430,285.00,495.00
194101,36,125.00,125.00
194101,30,95.00,95.00
194101,24,85.00,85.00
194101,5468,785.00,1495.00
194101,4860,655.00,1235.00
194101,3648,475.00,875.00
194101,3040,385.00,695.00
194101,2936,355.00,635.00
194101,2632,305.00,535.00
194101,2430,285.00,495.00
194155,36,125.00,125.00
194155,30,95.00,95.00
194155,4030,485.00,705.00
194155,4836,575.00,885.00
194155,6048,755.00,1245.00
194155,6854,885.00,1505.00
194110,5468,785.00,1495.00
194110,4860,655.00,1235.00
194110,3648,475.00,875.00
194110,3040,385.00,695.00
194110,2936,355.00,635.00
194110,2632,305.00,535.00
194110,2430,285.00,495.00
194162,40,145.00,145.00
194162,36,125.00,125.00
194162,30,95.00,95.00
194162,4030,485.00,705.00
194162,4836,575.00,885.00
194162,6048,755.00,1245.00
194162,6854,885.00,1505.00
194169,36,125.00,125.00
194169,30,95.00,95.00
194169,4030,485.00,705.00
194169,4836,575.00,885.00
194169,6048,755.00,1245.00
194169,6854,885.00,1505.00
194176,40,145.00,145.00
194176,30,95.00,95.00
194176,36,125.00,125.00
194181,40,145.00,145.00
194181,30,95.00,95.00
194181,36,125.00,125.00
194139,36,125.00,125.00
194139,30,95.00,95.00
194139,5468,805.00,1495.00
194139,4860,675.00,1235.00
194139,3648,495.00,875.00
194139,3040,405.00,695.00
194139,2936,375.00,635.00
160324,4860,655.00,1235.00
160324,3648,475.00,875.00
160324,3040,385.00,695.00
160324,2936,355.00,635.00
160324,2632,305.00,535.00
160324,2430,285.00,495.00
160324,20,75.00,75.00
160324,24,85.00,85.00
160324,30,95.00,95.00
160332,4860,655.00,1235.00
160332,3648,475.00,875.00
160332,3040,385.00,695.00
160332,2936,355.00,635.00
160332,2632,305.00,535.00
160332,2430,285.00,495.00
160332,20,75.00,75.00
160332,24,85.00,85.00
160332,30,95.00,95.00
24025,24,85.00,85.00
24025,30,95.00,95.00
24025,3226,325.00,575.00
24025,3629,375.00,675.00
24025,4030,405.00,735.00
24025,4836,495.00,915.00
24025,6048,675.00,1275.00
24025,6854,805.00,1535.00
24029,20,75.00,75.00
24029,24,85.00,85.00
24029,30,95.00,95.00
24029,3624,335.00,595.00
24029,4630,425.00,775.00
24029,5436,535.00,995.00
24029,6040,605.00,1135.00
24029,7248,765.00,1455.00
24031,20,75.00,75.00
24031,24,85.00,85.00
24031,30,95.00,95.00
24031,3024,305.00,535.00
24031,3226,325.00,575.00
24031,3629,375.00,675.00
24031,4030,405.00,735.00
24031,4836,495.00,915.00
24031,6048,675.00,1275.00
24031,6854,805.00,1535.00
24033,48,165.00,165.00
24033,40,145.00,145.00
24033,36,125.00,125.00
24033,30,95.00,95.00
24033,24,85.00,85.00
24033,4020,315.00,555.00
24033,4824,395.00,715.00
24033,6030,505.00,935.00
24033,7236,635.00,1195.00
24033,8040,725.00,1375.00
24033,9648,1025.00,1975.00
24035,30,95.00,95.00
24035,24,85.00,85.00
24035,3024,305.00,535.00
24035,3226,325.00,575.00
24035,3629,375.00,675.00
24035,4030,405.00,735.00
24035,4836,495.00,915.00
24035,6048,675.00,1275.00
24035,6854,805.00,1535.00
24037,3024,305.00,535.00
24037,3226,325.00,575.00
24037,3629,375.00,675.00
24037,4030,405.00,735.00
24037,4836,495.00,915.00
24037,6048,675.00,1275.00
24037,6854,805.00,1535.00
24039,3624,335.00,595.00
24039,4630,425.00,775.00
24039,5436,535.00,995.00
24039,6040,605.00,1135.00
24039,7248,765.00,1455.00
24041,20,75.00,75.00
24041,24,85.00,85.00
24041,30,95.00,95.00
24041,3024,305.00,535.00
24041,3226,325.00,575.00
24041,3629,375.00,675.00
24041,4030,405.00,735.00
24041,4836,495.00,915.00
